	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
1330|1331	et por ce que vos dites |que vos estes chevaliers errans. a, 	Pues dezides |Que fuistes cauallero Andante 	et aussi par ce que uous dictes |que uous estes cheualier errant 	et por ce que uos me dites |que uos estes cheualiers errans 	et que uous dictes |que uous estes cheualier errant. 	Lors descentas Dde son cheual 	e per ciò che vo' siete cavaliere erante come vo' dite». 
1332	Lors descent et vaslés saillent des autres paveillons, 	e luego salieron delas tiendas escuderos |Quelo desarmaron 	Lors descent. |et uarletz saillent des autres paurillons 	com ie sui Ices descent lancel. |et uarles saillent des autres pauillons. 	Lors descent de son cheual/ et uarletz saillent des autres paueillens 	Et uallet saillent des autres paueillons. 	soAllor discende Lancellotto |e' valletti salgono dell’altro padiglione, 
1333	si le desarment 	e desque fue desarmado 	si le desarment 	si le desarment 	si le desarment 	si le desarment demaintenant. 	si 'l disarmarono 
1334|1335	et li aportent I. mantel de samit legier a afubler por le chaut |qui grans estoit ; 	Truxeronle vn manto de xamete |para cubrir Porla calor |que façia grande 	et luy apportent ung legier mantel de samit a affubler pour le chaut |qui estoit grant. 	et li portent un mantel de samis uermeil legier por le chaut |qui grans estoit 	et lui apportent ung manteau de samit |pour affubler pour le chault |qui grant estoit. 	puis li aportent vn mantel de samit por affubler. 	e gli aportarono uno mantello di sciamito per afibiare, |per lo caldo che grande era, 
1336|1337|1338|1339|1340|1341|1342	si le mainent el grant paveillon avec l’autre chevalier. |Et lors parlerent ensamble |et s’entracointierent |et demanda li uns a l’autre de son estre ». |Li chevaliers enquiert a Lancelot |dont il vient |et ou il vet 	e entonçe se entraron el cauallero |e lançarote enla tienda |e asentaronse |e començaron a fablar envno |e el cauallero le pregunto |e dixo 	si le mainent ou grant paueillon luy et le cheualier. |lors parlent ensembles ce sentracointent |et demandent lun et lautre de son estre. |Si enquiert le cheualier a lancelot |dont il uient |et ou il uait. 	si le mainnent el grant pauillon entre lui et le cheualier. |et lors parolent ensanble entre lui et ses grans cheualiers. et lanc̃. et satracointent. |et demande li uns a lautre de son estre. |Si demande li cheualiers |don il uient et don il ua. 	Si le mainent au grant paueillon. |lui et le cheualier sentreacointerent |et demanda lun a lautre |dont ilz estoient: 	et lors sen uont el grant paueillon entre lui et le cheualier. |et cil li demande |ou il aloit. 	si se ne vanno nel grande padiglione |intra lui e l cavaliere; |allor parlarono insieme |e si tracomandarono al domandare l’uno a l’altro di suo essere, |si inchiede il cavaliere a Lancellotto |donde e viene |e dove e' va, 
1343	et quele aventure le maine si sol, 	señor que auentura os lleba asi solo 	et quelle auanture le mainne seul 	et quel auanture le mainne si seul. 	et quelle auanture le menoit si seul. 		e quale aventura il mena si solo, 
1344	et il li conte une partie de son estre 	e lançarote le conto toda su façienda 	et il luy en compte une partie 	et il li conte une partie de son estre 	Et il lui compte de son estre une partie 		ed e' gli conta una partita di suo essere 
1345|1346	et autre l’en çoile e; |et totes voies li dist 	enpero todavia le dixo 	et luy en cele l autre. |Et touteuoyes |dist il 	et une partie len soile. |et totesuoie li dit 	et lautre lui en celle: |et toutesfois dit il 	Et lancelot li dist 	e una partita ne li 
1347	que en la cort al roi Baudemagu voldroit estre por soi deffendre vers un chevalier 	que yua ala corte del Rey bandemagus |aque dixo el cauallero 	qu en la court du roy bandemagu uoudroit il estre |pour soy deffendre uers ung cheualier 	que a la cort bademagu: |uodroit estre. 	que en la court du roy bademagus uouldroit il estre pour ung cheualier 	quil volroit estre a la cort le roy baudemagu |pour combatre a. j. cheualier 	cela;e tutvorebbe essere per sé difendere verso d’uno cavaliere 
				por soi desfandre uers un cheualier. 			
		ame defender devn cauallero 					
1348	qui l’a apelé de traïson. 	dixo lançarote |que me Recto de traiçion 	qui la apelle de traison 	qui apelela de traison. 	qui lauoit appelle de trayson. 	qui lauait apele de traison. 	che apellato l’à di tradigione nella corte del re Artù. 
1349|1350	En ce qu’il parloient ensi, |orent li escuier mise la table, 	e ellos asi fablando entro vn escudero |e puso la mesa 	Ainsi quilz parloient mistrent les escuiers la table 	EN ce quil parloient ensamble. |si ont li escuier misses les tables. 	Et ainsi qu ilz parloient len mist les tables. 	Et en chou quil a parloient |ensi orent li escuier mises lez tables. 	Seln ciò che parlavano insi, |ebbono i valletti messe le tavole: 
1351	si vont laver; 	e asentose el cauallero a comer e lançarote 	si uont lauer. 	Si ont laue. 	ilz lauent leurs mains 	si vont lauer 	si si lavarono lor mani 
1352|1353	si s’asiet Lancelos et li chevaliers et une damoisele |qui molt ert bele 	e vna donzella muy fermosa 	puis sassiet lancelot et le cheualier. |et une damoisele |qui moult estoit belle 	Si ont assis lanc̃. et le cheualier et une damoisele |qui mout estoit bele. 	et puis se assient le cheualier et lancelot: |et une damoiselle moult belle/ 	si sassistrent li cheualier au mangier |Et vne damoisele |qui moult estoit bele 	e s’asederono al mangiare intra l cavaliere e Lancellotto e una damigella |che molto fu bella e avenante e fresca, 
1354|1355	et estoit amie al seignor de laiens; |si mengierent tuit troi ensamble. 	que hera amiga del cauallero 	et estoit amyx au seigneur de leaus. |si mangerent tous troys ensemble. 	et estoit amie au signor de Laiens. |Si mengerent |cui troi ensenble mais cele 	laquelle estoit amie au cheualier de leans. |Si mengerent tous trois ensemble: 	qui estoit amie au cheualier de laiens. |si mangerent tout. iij. ensamble 	si era amica del signor di là entro, |si era ella molto gentile femina. |i mangiarono tutti e tre insieme 
1356|1357|1358	mes cele qui Lancelot esgarde |ne se puet saoler de lui veoir, |Kar tant li samble bials 	mas la donçella en quanto vido a lançarote |ansi lo cataua |que no se hartaua delo ver |enque lo via tan fermoso 	Mais celle qui regarde lancelot |ne se puet saouler de le ueoir. |Car tant luy sembla beau 	qui lanc̃ esgarde ne se puet saouler de lui esgarder. |Car tant li sanble biax: 	mais celle qui lancelot regarde laisse le boire et le mengier pour la grant beaute 	mais moult regarde la damoisele lancelot. |et ne se puet de lui regarder saouler. 	e quella, |che Lancellotto riguardava tutto adesso, |non si può satollare di lui vedere, |ché tanto le sembia a essere bello 
1359|1360	qu’ele ne prisa onques mes bialté d’ome envers cesti : |si l’esgarde si viselment 	e no cuidaua |que tan fermoso ome pudiese auer enel mundo |e asi lo estaua catando 	que oncquez ne pasa beaute domme enuers ceste |si le regarda si auiseement 	que ele ne prisa onques |mais biaute a ome enuers la soie nule rieu. |Si le regarde si uiseument 	que elle uoit en lui/ si 	Si ne prisa onques mais la biaute domme vers la soie. |Si le regarde si ententieument 	ch’ella non pregia unque biltà d’uomo inverso costui: |isi-llo sguarda si visibilmente 
1361|1362|1363	que tot en laisse le mengier n’a autre chose n’entent. |fors a lui remirer. |Si ont li escuier osté le premier mes de sor la table 	que no podia comer |que auia el escudero tirado el primero manjar dela mesa 	que tout en laisse le manger. |si ont les escuiers ouste le premier mies de dessus la table 	que tout en laisse le mengier. |Na autre chose nentant fors a lui remirer. |Si ont li escuier oste le premier mes desus la table 	que a autre chose ne entent. |si ont les escuiers oste le premier 	que tout en laisse le boire et le mangier. |si que a autre chose nentent. |fors ca lui remirer. |Si ont li escuier oste le premier mes. 	che tutto ne lascia suo mangiare, |né ad altra cosa non ne intende fôrse a llui riguardare. |i tentivamente il riguardava |che gli scudieri ebbono levata la prima imbandigione 
1364	c’onques la damoisele n’en tasta, 	e ella no auia metido vocado enla voca 	que oncques la damoisele nen tasta. 	que onques la damoisele nen tata. 	mes que encques la damoiselle nen tasta 	mais onques la damoisele nen gousta. 	ch’unque la damigella no ne saggiò, 
							ché d’altra vivanda avea presa a mangiare 
							dond’ella non si satollerà mica leggermente, 
1365	ains pensa totes voies. 	e la donçella asi lo catando començo a pensar tan fieramente |que no hera sino marauilla 	ains peust tousiours. 	ains pance totesuoies . 	ains pensa a lancelot: 	Ains pensa toutes voies a la grant biaute lancelot. 	ciò l’è aviso, |si farà s’ella unque potrà. 
1366	Et en cel pensé li descent el cuer une si grant amor 	e ella ansi pensando |cayo vn amor ensu corazon 	et ce penser luy descent ou cuer 	et en se panser li dessent une si tresgrant amor 	et en celle pensee lui descendoit une telle amour au cueur 	Et en celui pense |li descendoit au cuer vne si grant amor : 	Slnsi pensa la damigella tuttavia, |e n quel pensieri le si ferma nel cuore uno sì grande amore 
1367	qu’ele aime Lancelot 	quelo començo ansi a amar a lançarote 	tant quelle arme lancelot 	que ele aimme lautͣ. 	que elle ayma lancelot oultre 	que elle ama lancelot outre chou 	ch’ella ama Lancellotto 
1368	outre ce que feme n’ama mes home; 	que mas muger podia a ome amar 	plus que femme nama iamais home 	outre ce que fame nemma mais home. 	que femme ne ayma oncques homme. 	que femme nama onkes si homme. 	oltre ciò che femina non amò mai uomo. 
1369	si li est avis 	e deçia entresi mesma 	si luy est bien aduis 	Si li est bien auis 	Si lui est auiz 	Si li est auis 	i-ll’è aviso |che se Dio, 
1370|1371	que s’il l’amoit |qu'ele seroit beneuree. 	que si la el quisiese amar |que se ternia porla 	que selle lamoit elle seroit bieneuree. |Mais cy cy endroit |pour deuiser une auanture |qui leur aduint ou paueillon endroit 	que ce il lenmoit |que ele seroit bone euree. 	que sil laymoit quelle seroit trop eureuse. 	que sil lamoit |que elle seroit bone euree. 	che n’à forza, le consentisse |ch’elli l’amasse, |ch’ella sarebbe in buon'or nata. 
1372	Mais ci endroit n’em parole plus li contes, 	mas bien auenturada muger del mundo 	nen parle plus le comte 	mais ci endroit nen parole plus li contes. 	Mais cy endroit plus nen parle le compte 	Mais chi endroit nen parole plus li contes. 	Ma qui indiritto non parla più il conto, 
1373|1374	kar ça avant le devisera |et comment ele l’ama merveillosement 	mas de como ella amo muy afincadamente a lançarote 	car apres le uous deuisera bien |comment elle lama merueilleusement 	Mais sa auant en la deuine page le uos deuisera il bien. |et coment ele lenma meruilleusement 	car cy aprez le uous deuisera |et comment elle layma merueilleusement. 	mais cha auant vous deuisera |comment elle lama merueilleusement. 	ché qua avanti vo diviserà |com’ella l’amò maravigliosamente 
1375|1376	et comment ele le proia et la merveille |que ses amis en fist, 	e delas cosas |que su amigo fiço 	et comment elle le pria et la merueille |que son amy en fist 	et coment ele le |proia.et la merueille |que ses amis en fist 	et comment elle mourut 	Et comment elle li pria. |et la meruelle |que sez amis en fist. 	e com’ella ne 'l pregò |e richiese d’amore, |e le maraviglie |che suo amico ne fece 
1377|1378	quant il sot |qu’ele l’amoit, 	quando sopo que ella tan desmesuradamjente lo amaua 	quant il scet quelle lamoit. 	quant il sot |que ele lemmoit. 	pource quil la refusa 	quant il sot |que elle lama. 	quand’e' seppe |ch’ella l’amava, 
1379|1380	et comment cele morut |por ce qu’il la refusa, 	e de como ella murio |quando supo que lançarote no la queria amar 	et comment cy endroit |pour deuiser une aunture qui leur aduint ou paueillon 	et coument ele morust porce que il la refasa. 	Comment lancelot rescouist le frere du cheualier 	Et comment elle morut por chou |quil le refusa, 	e come elli la rifiutò |e com’ella ne mori. 
1381|1382|1383|1384|1385|1386|1387	tot ce vos trespassera li contes ci endroit |por deviser une aventure |qu’il lor avint el paveillon |ou il estoient. |Ci dist li contes |que, quant il orent le secont mes eu, |es vos un chevalier armé d’unes armes vermeilles 	todo lo dexa aqui el Cuento de contar |Por contar vna auentura que les auino enla tienda |do estauan comiendo |Dize el cuento |que ellos estando comiendo |asi como vos digo he aqui |por do viene por antela tienda |vn cauallero convnas armas vermejas 	elle mourut |par ce quil la refusa. |Tout ce uous trepassera le conte Cy dit listoire |qui quant ilz eurent le segond mes ung cheualier arme dunes armes uermeilles 	Tout ce nos trespasera li contes ci endroit. |por deuiser une auanture |qui lor auint el pauillon. |OR dit li contes |que quant il orrent le secont mes eu. |E uous un cheualier arme a unes armes uermeilles. 	qui lauoit logie. |Et comment il se deffendist centre argondes. |et puis alla a la douloureuse tour faire enterrer le corps de galle |.iiii.xx.xu. |LE compte dit 	out ce vous trespassera li contes |chi endroit pour deuiser vne autre auenture|qui lor auint el pauellon |ensi com vous orres. |ANsi entendi la damoisele a regarder lancelot |que onques ne manga 	Tutto vo trapassa ora il conto |qui indiritto per divisare una aventura |che loro avenne nel padiglione |ove egli erano. |Or dice il conto |che quando elli ebbono la seconda messa avuta, |ed e' vidono uno cavaliere armato d’un’arme vermiglie 
1388|1389	qui vint corant par devant le paveillon o grant compaignie de chevaliers. |Et cil as armes vermeilles 	con gran conpaña de caualleros |e el Cauallero delas armas vermejas 	uint courant deuant le paueillen o grant compaignie de cheualiers. |Et cil es armes uermeilles 	et uuit acorant par deuant le pauillon o grant compangnie de cheualiers. |et ciz as armes uermeilles 	que quant ilz eurent eu le second mes uecy ung cheualier arme de armes uermeilles courant par deuant le paueillon a grant compaignie de cheualiers 	Et tant que on dut seruir du secont mes : |Et quant il orent le secont |mes es vous. j. cheualier arme dunes armes uermeilles 	
1390	qui devant venoit entre el paveillon a 	que delante venia entro enla tienda 	qui uenoit deuant entre ou paueillon 	qui deuant uenoit: |entra el pauillon. 	et il entra au paueillon 	qui vint corant par deuant le paueillon 	che davanti lor venne nel padiglione; 
1391	et voit. I. escuier 	e vio vn escudero 	et uoit ung escuier 	et uoit un escuier 	et uist ung escuier 	et vit el paueillon. j. escuier 	e là ove vide uno scudieri 
1392	qui servoit a la table, 	que seruia antela mesa 	qui seruoit a la table 	qui seruoit a la table. 	qui seruoit a la table 	qui seruoit a la table 	che serviva alla tavola 
1393|1394	si estoit freres al chevalier de laiens. |Et il cort maintenant cele part, 	e el cauallero enque lo vido fue contra el 	qui estoit frere au cheualier de leans |si court maintenant celle part 	et estoit freres au cheualier de laiens. |et il cort maintenant cele part 	qui estoit frere au cheualier de leans. 	qui estoit freres au cheualier de laiens. |Et il cort mainte nant 	ed era fratello del cavaliere di là entro, |ed e' corre in quelle parti, 
1395	si le prent par les espaules 	e tomolo porlos braços 	et le prent par les espaules 	et le prant as espaules 	Il le prent par les espaulles 	si le prent par les espaulles 	si prende lo scudieri per le spalle 
1396|1397	et le lieve devant lui sor l’arçon de la sele, |si s’en torne a tot. 	e pusolo antesi sobre el cuello del cauallo |e salio conel dela tienda 	et le lieue deuant luy sur larcon de la sele. |si sen tourne atant. 	et le trait deuant lui sor larson de sa cele. |Si sen torne atant 	et le met deuant lui es arcons de sa selle si sen ua atout. 	et le met par deuant lui sor le col de son cheual. |si sen torne a tout. 	e lieva davanti lui sopra l’arcione della sella, |si se ne va con tutto lui broccando. 
1398	Et quant cil del paveillon voit ce. 	e el cauallero quelo vio ansi lleuar 	Et quant cil du paueillon 	et quant cil del pauillon uoit ce: 	Et quant celui du paueillon uoit ce 	Et quant li cheualiers del paueillon vit chou 	'E quando il signor del padiglione vide ciò, 
1399|1400|1401|1402|1403	si crie a Lancelot: « |Ha, |bials sire, |je sui mors, |se cil enporte ensi mon frere, 	començo a dar vozes a lançarote |ay señor muerto|so si asi me lleba a aquel escudero mi hermano 	uoit ce si crie a lancelot. |Haa beau sire ie suys mort |sil emporte ainsi mon frere 	Si crie a lanc̾. |a biax sire ie sui mors ce ciz en porte mon frere. 	si crie a lancelot. |Haa sire ie suis mort |se celui emporte mon frere/ 	si crie a lancelot. |Sire iou sui mors sil emporte ensi mon frere. 	si isgrida a Lancellotto: |Al, bel sire, io son morto |se que' ne porta insi mio fratello, 
1404|1405	kar il l’ocirra, |s’il n’est secors: 	Ca lo matara si lo no acorredes 	Car il loccira sil nest secouru. 	Car il locirra ia. |ce i nest cecorus. 	car il loccira sil nest secouru 	quar il locirra sil nest secorus 	ché l’uccidrà se nonn-è soccorsol 
1406	si vos pri por Dieu 	e porende vos Ruego por dios 	si uous pry pour dieu 	Si uous pri por dieu 	Si uous prie pour dieu 	Si vous pri pour dieu 	Si vo priego, per Dio, 
1407	que vos i metés paine. » 	que me ayudedes alo cobrar 	que uous mectez et ung escuier uient a luy 	que uos metes painne en lui rauoir. 	que uous mettez paine a le secourir 	que vous metes paine en lui rescorre. 	che vo' vi mettiate pena in lui riscuotere». 
1408	Et Lancelos saut de la table 	e lançarote salio luego dela mesa 	si luy dist. 	Et lanc̃ saut de la table 	Et lancelot sault hors de la table 	Lors saut maintenant lancelot doutre la table. 	E Lancellotto salta tutto immantanente della tavola 
1409|1410	et demande ses armes, |et I. escuiers vint avant, 	e pidio sus armas a vn su escudero 	Certes fait il. uoz armes |et demourra 	et demande ses armes. |et uns escuiers saut auaut 	et demande ses armes, |et ung escuier uint a lui 	si demande ses armes |Et vns escuiers vint a lui. 	e domanda sue armi, |e uno scudiere viene avanti 
1411|1412	si li dist : « |Par foi, 	Que y estaua le dixo señor 	que ie ne les suyue. |Lors uient hors du paueillon. 	si li dist. 	et lui dist. 	si li dist 	che gli disse: 
1413|1414|1415|1416|1417|1418|1419|1420|1421|1422|1423	sire, |vos armes et vostre cheval enmainent il ! — |Voire, |fet il. |par mon chief, |ja por ce ne remaindra |que je nes sieve.» |Lors vient fors del paveillon |et li chevaliers o lui |et il esgarde cels |qui s’en vont 	Por buena fee el cauallero vos a hecho llebar vuestras armas |e vuestro cauallo pormi cabeza |dixo lançarote |ni por eso non fincara |quelo non siga |e luego salio lançarote dela tienda |e el cauallero conel |e vieron yr los caualleros pasando el agua 	et les peine a le rauoir |et lancelot sault de la table |et demande ses armes uostre cheual emmainent ilz. |uoire fait il. |Par mon chief |pour ce ne cheualiers o luy. |et il regarde ceulx |qui sen uont 	Par foi sire et uos armes et uostre cheual enmainnent il. |uoire fait cil: |par mon chief iaporte ne remandra |que ie nes sieue. |Lors uient fors del pauillon et li cheualiers o lui |et regardent cex |qui sen uont. 	Par ma foy sire uoz armes emportent il. |Par mon chief |pour ce ne ne demourra il pas |que ie ne le suiue. |Et lors sault hors du paueillen |et le cheualier auec lui |Ilz regardent ceulx |qui sen uont 	Par foy sire vos armes et vostre cheual enmainent il |voire fait il : |par mon chief por chou ne remandra il mie |que ams iou ne lez sieue. |Et lors sen ist hors del paueillon. |et li cheualiers aueques lui. |et il regarde chiaus |qui sen vont 	«Per fé, vostre armi e vostro cavallo ne mena elli. — |Vere, diss’elli, per mio capo, |già per ciò non rimarrà |ch’io nol seguiti». |Allor va fuori del padiglione |e l cavaliere con lui, |ed e'risguardano quelli |che se ne vanno 
1424|1425|1426|1427|1428|1429|1430	qui ja avoient passé l’eve par J. pont de fust; |et Lancelos demande al chevalier |s’il remaindra. « |Sire, |fet il, |nenil, |ains vos ferai compaignie 	Porvna puente de madero |señor dixo lançarote al cauallero fincad vos aqui |no fare dixo el |mas antes yre con vos 	qui auoient ia passe leaue par ung pont de fust. |Et lancelot demande au cheualier sil demourra. |sire fait il nennil. |ains uous feray compaignie 	qui ia auoiet passe leue par .i. poncel de fust. |et lanc̃. demande au cheualier |ce il remaindra. |Sire fait cil non. |ains uos ferai compangnie. 	qui auoient ia passe leaue par ung pont de fust. |Lancelot demande au cheualier sil demourra. |Sire fait il nenny |ains uous feray compaignie 	qui auoient passe laigue par. j. pont de fust. |Et lancelot demande au cheualier sil remandra |Sire fait il nenil |ains vous tendrai compaignie 	che già avieno passato l’acqua per un ponte di legno, |Pe Lancellotto domanda al cavaliere |s’elli rimarrà, |ed e dice: |«Sire, |non, anzi, vo farò compagnia 
1431|1432	tant que nos aions trové |qui armes vos baut. » 	fasta que falledes quien vos de armas 	tant que nous ayons trouue |qui nous preste armes. 	tant que nos aions troue |qui armes nos baut. 	tant que uous aiez trouue |qui armes uous baillera. 	tant que vous aies troue |qui armes vous volsist baillier. 	tanto che noi troviamo |chi armi vo doni». 
1433|1434|1435	Lors acueillent lor voie tot a pié |et vienent au pont, |si passent outre 	e cauallo enque sigades el cauallero |Luego se començaron de yr |e andubieron tanto |fastaque llegaron ala puente de madera |e pasaronla 	Lors acceillent leur uoye tout a pie |et uiennent au pont |si passerent oultre 	Et lors acuellent lor uoie. tout a pie. |et uienent au pont |si passent outre. 	Lois uiennent au pent tout a pie |et passent oultre 	Lors acoillent lor chemin droit au pont |et passent outre. 	Allora accolgono lor camino tutto a ppiè |e vengono al ponte, |si passano oltre 
1436|1437	et s’adrecent a I. tertre |par ou li chevalier s’en vont; 	e fueronse contravn otero |Por do los caualleros se yuan e lançarote 	et sadrecent au chemin par ou les cheualiers sen uont. 	et sadrescent au tertre par ou li cheualiers sen ua. 	et se adrecent a ung terte par ou les cheualiers uont. 	Et sadrecent a vn tertre par ou li cheualier vont. 	e s’adirsizlano al poggio |per dove il cavaliere se ne va. 
1438|1439	si n’ont gaires alé |quant il encontrent I. chevalier armé d’unes armes noires 	e el cauallero fueron tanto enpos ellos |fastaque encontraron vn cauallero armado devnas armas negras 	si nont gueres |alle que ilz encontrent ung cheualier arme dunes armes noires 	Si nont gaires ale |quant il uoient .i. cheualier arme a unes armes noires. 	Si ne ont gaires alle |quant ilz encontrent ung cheualier arme dunes armes noires 	Si nont gaires ale quant il ont encontre. j. cheualier a vnes armes noires 	Si non ebbono guari andato |quando elli incontrarono uno cavaliere a une armi nere 
1440|1441	qui venoit al pont par I. chemin de travers. |Et quant il voit Lancelot, 	que venia ala puente |porvn sendero pequeño altrabes |e quando el vio a lançarote 	qui uenoit au pont par ung chemin de trauers. |et quant il uoit lancelot 	qui uenoit au pont par .i chemin de de trauers. |et quant il uoit lanc̃ si sareste 	Quant il uist lancelot 	qui venoit au pont par. j. Chemin de trauers. |Et quant il vit lancelot si sarreste por chou 	che vlenlia al ponte per uno camino di traverso. |E quand’e' vide Lancellotto, 
1442|1443	si s’areste por ce que bien le conoissoit, |si li demande 	luego lo conoçio 	si se arreste |par ce que bien le cognoissoit. |si luy demande 	por ce que bien le quenoissoit. |Si li demande 	il se arresta |pource qu il le congnoissoit bien |et lui demanda 	quil le connut bien.|Si li demande 	si si arestò per ciò che ben lo conosce, |si gli domanda 
1444|1445|1446|1447|1448|1449	ou il vet ensi a pié tos desammés. « |Qui estes vos, |sire chevaliers, |fet Lancelos, |qui me demandés |ou je vois ? — 	e estovo quedo |fastaque llego |e dixole 	ou il ua ainsi a pie et tout desarme. |Qui estes uous fait lancelot sur cheualier. |qui me denandez ou ie uoys. 	ou il ua Si a pie et ansi desarmes |Qui estes uos fait il sire cheualiers |qui me demandes ou ie uois. 	ou il alloit ainsi a pie tout desarme. |Quest ce fait lancelot demandez uous ou ie uois. 	ou il aloit ensi tout a pie et desarmes. |Qui estes vous fait lancelot |qui me demandes ou ie vois. 	ov’elli va insi a piede |e tutto disarmato. |PeChi siete voi, |disse Lancellotto, sire, |che mi domandate |ov’io vò? - 
1450|1451	Je sui, |fet il, I. chevaliers d’estrange païs, 	señor do ydes asi de pie 	Ie suys fait il ung cheualier estrange. 	Ie sui fait il de cest estrange pais. 	Oy sire si suis ung cheualier destrange pais 	Iou sui fait il vns cheualiers destrange pais 	l’ son, diss’elli, uno cavaliere di stran paese 
1452|1453	mais molt me merveil |de ce que je vos voi ensi aler. » 	e desarmado |e quien sodes vos dixo lançarote 	mais moult me merueille |de ce que ie uous uoy ainsi aller. 	mais mout me merueil |de ce que ainsi uos uoi aler. 	qui moult me merueille de uous uoir aller ainsi. 	qui moult mesmerueil de chou |que iou vous voi ensi aler. 	che molto mi maraviglio |di ciò |ch’io vi veggio insì andare». 
1454|1455	Et Lancelos li conte |comment il estoit herbergiés 	yo so dixo el vn cauallero destraña tierra 	et lancelot luy comte |comment il estoit herberge. 	et lanc̃. li conte |comment il estoit ainsi herbregiez. 	Et lancelot lui compte |comment il estoit hebergie: 	Et lancelot li conte |comment il estoit herbergies. 	E Lancellotto gli conta |com’egli era albergato 
1456|1457|1458	et comment I. chevaliers vint laiens |ou il menjoit, |qui prist a force I. vaslet 	que mucho me marauillo |porque vos veo yr asi 	et comment ung cheualier uint leans |qui print a force ung uarlet 	et coment li cheualiers enporte lescuier. 	et comment ung cheualier uint |la ou il mengoit |qui print a force ung uarlet 		e come uno cavaliere venne là entro |ov’elli mangiavano, |e prese uno scudieri a forza davanti noi 
1459	et le mist sor le col de son cheval. « 	e apie |e lançarote lo conoçio 	et le mist sur le coul de son cheual. 		et le mist sur le col de son cheual. 		e l mise sopra l collo di suo cavallo, 
1460|1461|1462|1463|1464	Et encore m’a il plus meffet, |fet Lancelos, |kar cil |qui avec lui vindrent enporterent mes armes |et enmenerent mon cheval. — 	e començole a contar |como el cauallero lo aluergara |e como el otro les llebo el escudero 	et encor ma il plus meffait. |Car ceulx |qui uindrent auec luy emporterent mes armes |et emmenerent mon cheual 	et encor ma il plus mesfait fait fait lanceloz. |Car cil qui auec lui uindrent enportent mes armes. |et en mainnent mon cheual. 	Et encores y a il plus fait lancelot |car ceulx |qui auec luy sont emportent mes armes |et emmainent mon cheual/ 	et comment li valles fu pris et sez armes et ses cheuals emportees. 	e ancor m’à elli più misfatto, |disse Lancellotto, |ché quelli che con esso lui venono |ne portano mie armi |e ne menano mio cavallo. 
1465|1466|1467|1468|1469	Quel guerredon, |fet cil, |porroie je atendre de vos, |se je por vos me desarmoie |et vos bailloie mes armes et mon cheval ? — 	que ala mesa seruia afuerça ençima del cauallo |e como le fiço llebar sus armas |Que galardon me daredes |dixo el cauallero |si vos diese mis armas 	Quel guerdon pourroye ie actendre de uous. |si ie pour uous me desarmoye |et uous balloye mes armes et mon cheual. 	Quel guerredon porroi ge atandre |de uus se ie uos bailloie mes armes et mon cheual. 	quel guerdon fait celuy pouroie ie auoir de uous |se ie me desarmoye et uous bailloie mes armes et mon cheual/ 	Quel guerredon fait cil porroie iou de vous atendre : |se ie por vous me desarmoie |et vous bailloie mes armes et mon cheual. 	—E quale guiderdone potre io di voi atendere, |s’io per voi mi disarmasse |e vo donasse mio cavallo e mie armi? — 
1470|1471	Certes, |fet Lancelos, 	e mi cauallo porçierto dixo lançarote 	Certes fait lancelot 	Certes fait lanc̃. 	certes fait lancelot: 	Certes fait lancelot 	Certo, |sire, |disse Lancellotto, 
1472|1473|1474|1475|1476	tel com vos deviseriés. — |Se vos, |fet il, el premier lieu |ou je vos troverai armé, |por que je soie desarmés, 	tal qual vos supieredes deuisar |si vos me juraredes |dixo el Cauallero |que enel primer lugar |que vos fallare armado|e yo fuere desarmado 	tel comme uous deuiseriez |Se uous me creancez |que ou premier lieu |que ie uous trouueray arme par |ainsi que ie soye desarme 	tel com uous deuiserois. |Ce uous fait cil me creantes |que el premier lieu ou ie uos troueroie arme 	tel comme uous deuiseres/ |se fait il au premier lieu 	tel comme vous deuiseres. |Se vous fait cil el premier lieu |ou iou vous trouerai arme me creantissies a baillier vos armes 	tale come diviserete. — |e vo', |disse il cavaliere a l’arme nere, |nel primaio luogo |ov’io vo troverò armato |per ch’io sia disarmato 
1477|1478|1479|1480	me creantés a doner vos armes » |Ie vos bailleroie les moies. — |Certes, |fet Lancelos, 	me dedes vuestras armas |yo vos dare estas mis armas e mi cauallo |Muy de grado dixo lançarote 	que uous me baillerez uoz armes ie uous bailleray les moyes. |Certes fait lancelot 	puis que ie fusse desarmes me donriez uos armes. le uous bailleroie les moiees. |Certes fait cil 	ou ie uous trouueray arme me promettes a bailler uos armes ie uous bailleray les miennes |Certes fait lancelot 	Iou vous bailleroie lez moies 	mi volete dare vostre armi, |e ciò mi volete impromettere, |io vo donerò le mie |che molto sono buone e difensaboli. — |Certo, |disse Lancellotto, 
1481|1482|1483	si ferai je, |por que vos ne me truisiés combatant. » |Et cil descent maintenant, 	ental que me non falledes conuatiendo |e luego selo juro |entonçe desçendio el cauallero desu cauallo 	si feray ie |mais que uous ne me trouuez combatant. |Et il descent |si se desarme 	si ferai ge puis que uos ne me trussiez conbatant. |et cil descent maintenant 	si feray ie pourtant |que uous ne me trouues combatant/ et celuy deschent maintenant 	Certes fait lancelot volentiers par ensi que vous ne me truisies combatant. |Et cil descent maintenant 	si farò io, |purché voi non mi troviate combattendo». |E que' dice |che si, dic’elli, 
							e Lancellotto gliel promette immantanente a donare. 
							sImmantanente discende il cavaliere 
