	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
1303|1304|1305|1306|1307|1308|1309	por la mort de Meleagan; |si l’en covient a deffendre en la cort le roi Baudemagu. « |Ha, |fet ele, |je sai bien |qui il est. |C’est Argodras li Ros et li chevaliers 	Porla muerte de meliangas |e heme a defender enla corte del Rey bandemagus |ay señor dixo ella |yo se quien es cauallero |Ca es argodras el Rubio 	pour amour de meleagant |si luy en conuient deffendre en la court du roy bandemagu. |Haa sire fait elle ie scay bien quil est. |cest arqodras le roux. |et le cheualier 	por la mort de meleagͣ. |Si li couient a desfandre en la cort le roi bademagu de gorre. |Ha; |fait ele ie sas bien qui il est. |Cest agodras li rous. et li cheualiers 	pour la mort de melleag. |si men conuient a deffendre en la court du roy bademagus/ |Haa fait elle ie scay bien |qui il est cest argorindes le roux/ 	pour la mort melyagant. |si men conuient a desfendre en la cort le roy baudemagu. |ha y fait elle iou sai bien |qui il est Cest argondrass li rous. 	tradigione nella corte del re Artù per Melegant, sì me ne convien a andare a difendere nella corte del re Bando di Maguzo». |— |eHal, diss’ella, |io so bene chi egli è, |ciò è Argondras il Rosso; 
1310	que vos avés hui ocis et ars estoit ses freres; 	hermano del cauallero |que agora matastes 	que uous auez huy occis |et ars estoit son frere. 	cui uos auez ocis |et ars hui en cest ior. estoit ses freres. 	et le cheualier |que uous aues occy et ars estoit son frere/ 	Et li cheualiers |que vous aues ochis et ars estoit ses freres. 	il cavaliere che voi avete morto e arso era suo fratello, 
1311|1312	si ne sai |que vos puissiés fere, 	mas señor no se que vos faga 	si ne scay |que uous puissez faire. 	Si ne sai |que uos en puissiez faire. 	si ne scay |que puissies faire/ 	si ne sai |que vous puissies faire. 	sì non so che voi ve ne possiate fare, 
1313	kar se mes peres set 	ca e miedo |que si mi padre sabe 	car se mon pere sceit de uray 	Car ce mes peres cest 	car se mon pere scait 	Car se mes peres set vraiement 	ché se mio padre el re Bando sa veracemente 
1314|1315|1316|1317|1318|1319|1320|1321|1322|1323|1324|1325	que vos aiés ocis Meleagan, |je criem |qu’il ne vos face ocirre |por le grant duel |qu’il avra des noveles. |— |Coment ? fet Lancelos, |nel set il mie encore ? — |Certes, |sire, |nenil; |si est Meleagans en cest païs aportés plus a de XV. jors 	como matastes a meliangas |que vos faga matar porel gran pesar |que abra destas nuebas |como dixo lançarote |no lo sabe |ansi me ayude dios dixo ella |no maguer |que a quinze dias |que an traido aesta tierra el cuerpo de meliangas 	que uous auez occis meleagant iay paour |quil uous face occire |pour le grant deul |quil aura des nouuelles. |Comment fait lancelot ne le sceit il encores pas |Si maist dieu fait elle nennil. |si a este meleagant apporte en ce pays plus de .xx. iours a. 	que uos auez ocis mel̾. |mon frere |ie crien |que il ne uos face ocirre |por le grant duel |que il en auoi. |Coument fait lanc̃. |ne le cest il encore pas. |Si maist diex fait ele nenil. |Si est mell. aporte en cest pais bien a .xu. iors. 	que uous aies occis melleagant ie crains |quil ne uous fache occire. |comment fait lancelot. |ne scait il pas encore |qui se a fait. |se maist dieux nennil fait elle |Si est melleagant apporte en ce pays |.xu. iours a passes/ 	que vous aues melyagant ocis. |Iou criem |quil ne vous face ocirre. |pour le grant doel quil en aura. |Comment fait lancelot ne le set il mie encore. |Si mait diex fait elle nenil. |Si est melygant amenez er cest pais. XV. iors a passes. 	che voi abiate ucciso Meleagante, |io temo che non voi faccia uccidere per lo gran duolo |ch’elli n’arà di suo figliuolo, |ché troppo l’amava. |—Come, disse Lancellotto, |nol sa elli mica ancora? |— Se m’aiuti Iddio, diss’ella, non. |Si è elli recato in questo paese più di Xv. giorni fa 
1326|1327	et est el chastel des Illl. Pierres |et le gardent iluec si celeement 	mas tienenlo enel castillo delas quatro piedras muy encubiertamente 	et est ou chastel des quatre pierres. |et le gardent ilec si celeement 	et est el chastel de .iiii. pierres. |et le gardent la si celeement 	et est au chastel des quatre pierres. |Et le gardent illec si celleement 	si gist el castel des. iiij. pierres. |Et le gardent illueques si celeement 	ed è il corpo con tutto il capo nel castello di Quatro Pieri, |e l guardano nel luogo si 
1328	que li rois n’en set encore riens: 	quelo no sepa su Padre 	que le roy nen scait ores riens 	que li rois nen cest encore riens. 	que se roy nen scait encores riens: 	que li roys nen set encore noient. 	celatamente che il re non ne sa ancora nulla; 
1329|1330|1331|1332|1333|1334	si en covendra esploitier al plus sagement |que vos porrois. |Mes a quant est li jors |que vos vos en devés deffendre? » |Et il dist |que c’est le jor de la Magdalaine. « 	e ansi vos conuiene de vos encubrir muy sabiamente |mas quando es el dia |que vos auedes de defender el dia dela |magdalena dixo lançarote 	Si uous conuiendra esploicter au plus sagement |que uous pourrez. |mais quant est le iour |que uous uous en deuez deffendre. |et il luy dit |que cest le iour de la magdalene. 	si uos en couenra esploitier au plus saigement |que uos porrois |Et quant est li iors |que uos nous en deuez desfandre. |et il dit |que cest le ior de la magelainne. 	mes dictes moy a quant est le iour |que uous uous deuez deffendre. |Et il dit |que cest au iour de la magdalaine. 	Si vous en conuendra esploitier au plus tost que vous porres. |Mais a quant est li iors. |que vous en baes a desfendre. |Et il dist |que chou est le ior de la magdalaine. 	si vo ne converà portare al più saggiamente che vo' potrete. |Ma quando est il giorno che vo' ve ne dovete difendere?». |Ed e' dice el di della Madalena. e. 
1335|1336|1337|1338|1339|1340|1341|1342	Or vos en conseut Diex, |fet ele. |kar j’ai grant poor |que Argodras ne vos face anui par traïson. — |De ce, fet il, |n’aiés ja garde! |Tot son pooir en face, |que je n’en avrai ja poor. » 	si dios me ayude |dixo la donçella |yo he gran miedo |que vos el faga matar algodras |por Alguna traiçion deso dixo lançarote |no ayais Miedo |e el faga todo su poder |Ca yo me guardare deGuisa |Que no aya del pabor |Conel ayuda de dios 	Or uous en conseille dieu fait elle. |car iay grant doubte |que argodras uous face ennuy par traison. |De ce fait il face tout son pouoir. |car ie nen auray ia paour ne doute. 	Or uas en consaut fait ele diex. |que iai grant paour |que agodras ne uous face anui par traison. |De ce fait il naiez ia garde tout son pooir en face |que ie ne le dout pas. 	Or uous conseille dieu fait elle: |car iay grant paour |que agarindes ne uous face auoir |quel que trayson. |De ce fait il naiez ia paour.	Or vous en consaut diex fait elle. |quar iou ai grant doute |que argondras ne vous face anui ou traison |De chou fait il naies ia garde |mais tout son pooir en face |quar iou nen aurai ia paour . 	Or vo ne consigli lddio, diss’ella, |ch’i' ò gran dotta che Argondras non vo faccia invidia o tradigione. |— Di ciò, diss’elli, |non abbiate già guardia: |tutto suo podere ne faccia, ch’io non arò già paurab. 
1343	Assés parlerent cele nuit de maintes choses a 	Asi fablaron toda aquella noche de muchas cosas 	Assez parlerent celle nuyt de maintes chosss. 	Assez parleren cele nuit de maintes chosez. 	Assez parlent celle nuit de plusieurs choses 	lele nuit fu lancelot moult a aise 	Assai parlarono quella notte di molte cose 
							intra Lancellotto e la damigella, 
1344	et molt firent cil del chastel grant joie de lor dame 	e Mucho façian gran alegria los del castillo porque asi auian cobrado a su señora 	et moult firent ceulx du chastel grant ioye de leur dame 	et mout firrent cil del chastel grant Ioie de lor dame 	et menlt firent ceulx du chasteau grant feste de lui et de leur dame 	et moult firent cil del chastel ioie de lui et de lor dame. 	e molto feciono lquelli del castello! |grande gioia di lor dama 
1345|1346|1347|1348|1349	qu’il cuidoient avoir perdue, |et or l’ont saine et haîtie |Et al matin, |si tost com li jors parut cler, |se leva Lancelos 	Que ayudauan ental manera Perder |e enla mañana en quanto el dia aparesçio claro |se leuanto lançarote 	quilz cuidoient auoir perdue. |et ores lont saine et haitie. |Et au matin si tost que le iour esclarsit se leua lancelot. 	que il cuidoient auoir perdue. |et orlat sainne et haitie. |Et au matin |quant li iors aparut biax et clers |se leua lautre de son lit 	quilz cuidoient auoir perdue. |Et au matin |si tost |comment le iour apparut se leua lancelot 	que il quidoient auoir perdue. |Et au matin si tost|com li iors apparut |se leua lancelot et sarma 	ch’elli |credieno aver perduta a tutto giorno mai, |e or l’ânno con esso loro sana e adatata. |eAl mattino, |si tosto come il giorno apari chiaro, |si levò Lancellotto 
1350|1351|1352	et se parti de la damoisele, |quant il fu armés; |et ele le commande molt a Dieu 	e se partio dela donçella |e des que fue armado |e la acomendo a dios Señor 	si se party de la damoisele |quant il fu arme. |et elle le commanda moult a dieu 	et se parti de la damoisele |Quant il fu armez la damoisele comande a 	et print congie de la damoiselle. |Et elle le commanda a dieu 	et prist congie a la damoisele. |et elle le commande a dilelu 	e si parti dalla damigella |quand'e' fu armato, |ed ella il comandò molto a dDio 
1353|1354	et li pria |qu’il s’en revenist par li al repairier; 	dixo la donçella |yo vos Ruego |Que al tornar vengades 	et le pria quil sen reuenist par lie. 	dieu.et li prie |que il sen reuenist par li au repairier. 	et lui pria |quil reuenist par elle au repairier. 	et li pria |quil reuenist par li au repairier. 	e l priega molto dolcemente |che ritornasse per lo luogo a riparare. 
1355|1356|1357	et il dist |que si feroit il, |s’il pooit. 	Por aqui de Grado dixo lançarote |si pudiere 	et il dist |qui si feroit il sil pouoit. 	et il dit |que si feroit il |se il puet. 	Et il dit |que si feroit il sil pouoit. 	Et il li dist |que si feroit il |se il pooit. 	Ed e' dice |che sì farà elli |s’elli potrà, 
1358|1359	Si se remet en son chemin et eirre tot le jor jusqu’al vespre |et lors aproche d’une riviere 	e luego se metio enel camino 	si se mect en son chemin |et erre toute iour iucquau uespre. |Et lors aprouche dune riuiere 	et il se remest en son chemin. |et erre iuscau uespre. |et lors aproche une riuiere 	Il se met en son chemin |et erre iusques au soir. |Lors approuche de une riuiere 	si se met en son chemin |et esra toute iour iusques au soir. |Et lors aproche dune riuiere 	si si rimette in suo camino e va tutto giorno insin qua a vespero. |Allora apressima d’una riviera 
1360	que l’en apeloit Aglonde, 	e andubo todo aquel dia porvna rribera ayuso fasta visperas 	que len appelloit aglunde. 	que len apele aglode. 	que len appelloit aglondes/ 	que on apeloit agloride. 	che l’uom chiamava Aglonda, 
1361	si en estoit l’eve molt parfonde et molt noire. 	e el agua hera fonda y negra 	si estoit leaue moult parfonde et moult noire 	et si en estoit leue parfonde et mout noire. 		si en estoit laigue moult parfonde. |et moult noire, 	si era l’acqua molta perfonda e molto nera. 
1362|1363	Et quant il vint pres de l’eve, |si vit trois paveillons tendus pres de la rive; 	e desque fue çerca del agua vio tres tiendas çerca dela rribera 	et quant il uint pres de leans |si uit pres de la riue troys paueillons tenduz 	et quant il uint pres de leue si uit .iii. pauillons. |tandus delez la riuiere. 	si uoit trois paueillons tendus pres de la riuiere. 	Quant lancelos vint pres de laiglule |si y uit. iij. paueillons tendus. 	E quand’e venne a l’acqua, |si vide tre padiglioni tenduti presso della riviera, 
1364|1365	si en estoit li uns grans et bials |et li autre dui estoient moien. 	e la vna hera muy grande |e muy fermosa |e las dos heran mas pequeñas 	si y en auoit ung grant et beau. |et les autres deux estoient moyens. 	et en estoit li uns grans et biax. |et li autres estoient 	si en estoit ung grant et blanc et les autres deux estoient noirs. 	dont li vns estoit blans. |et li autre doi moien estoient de autre color. 	si n’era l’uno molto grande e molto bello, |e gli altri due minori. 
1366	Et lors issi del greignor paveillon I. chevaliers tos desarmés 	e luego que ay llego lançarote vio salir dela mayor tienda vn cauallero desarmado 	Et lors issy du plus grant des paueillons ung cheualier tout desarme 	moien.et lors issi de lun des pauilons uns cheualiers tous armez 	Et lors issist dun paueillen ung cheualier tout arme 	Et lors issi del pauellon vns cheualiers tous armes. 	eAllora usci del padiglione uno cavaliere tutto disarmato 
1367|1368	qui li dist |que bien soit il venus, 	quele dixo |señor vien vengades 	qui luy dist |que bien soit il uenu. 	qui li dit |que bien soit il uenus. 	qui lui dist |que bien soit il uenu. 	qui li a dit |que bien soit il uenus 	che gli disse bene sia elli venuto, 
1369|1370|1371|1372|1373|1374|1375|1376	et il li rent maintenant son salu. « |Ha, |sire, |fet il, |vos me samblés chevaliers errans |et je aim tos cels |qui en tel mestier usent lor vie, |kar je meismes sui chevaliers errans 	e lançarote le torno sus saludes |buen señor dixo el cauallero dela tienda vosme semejades Cauallero andante |e porque ya fue tiempo |que yo mesmo fui cauallero andante 	et il luy rend son salu. haa sire fait il uous me semblez cheualiers errans et iayme tous ceulx |qui en tel mestier leur uie usaent. |Car ie mesmes suys cheualier errant. 	et il li rent tout maintenant son salu. ha: |Sire uos me sanblez cheualiers errans |et ie ain tous seus |qui en tel maniere ussent lor uie. |Et ie meismes sui cheualiers errans 	Et il lui rent son salut. |Beau sire uous semblez cheualier errant: |et iayme tous ceulx |qui en telle maniere usent leur uie: 	Et il li rent son salu. |Biau sire ce dist li cheualiers del paueillon |vous me sambles vns cheualiers errans. |et iaim tous chiaus |qui en tel maniere usent lor vie. |Car iou meismes sui cheualiers errans. 	ed e' gli rende immantanente suo saluto. |aHal, sire, |disse il cavaliere del padiglione a Lancellotto, |vo mi sembiate cavaliere errante, |e io amo tutti quelli |che in tale maniera usano lor vita, |ch’io medesimo sono cavaliere errante; 
1377	et por ce vos vueil je proier 	Ruego vos 	et pour ce uous uoudroye ie prier 	Si uos uoroie prier. 		et pour chou vous voeil iou proier 	e i' vo vorrei pregare 
1378	que vos herbergiés anuit mes o moi; 	que esta noche aluerguedes Conmigo 	que uous herbregez mais huy auec moy. 	que uos herberresiez hui mais auec moi ennuit. 		que vous vous herbergies hui mais auec moi. 	che voi albergaste stanotte con esso meco, 
1379|1380|1381|1382	kar se vos passés avant de ci, |vos ne troverois se forest non, |si salvages |que vos i porrois tost desvoier. 	Ca si de aqui partides non fallaredes |sino floresta muy yerma |e saluaje |que no fallaredes do aluergar esta noche 	car se uous passez plus auant uous ne trouuerez mais huy |que fourests si sauuages |que uous y porez tost desuoyer. 	Car ce uos passez de ci uos |ne trouerois ce fores non si sauuages: |que uos i porrois moutost desuoier. 	car moy mesmes suis cheualier errant. 	Car se vous vous partes de ci vous ne trouueres hui |mais se fores non saluages. |si que vous y porrois bien foruoier. 	ché se voi passate di qui vo' non troverete |oggimai se non foresta si |salvatica che vo potrete molto tosto disviare; 
1383|1384|1385|1386	Et il est bien tens de herbergier, |ce veés vos bien : |por ce vos lo |que vos remanois 	e poresto vosloaria |Que finquedes aqui esta noche 	et il est bien temps de herbreger |comme uous uoyez par ce uous loue |ie que uous demourez. 	et il est bien tans de herbreger. |ce ueez uus. |Por ce uos loie |que uus remenois 	Et pour ce quil est temps de se hebergier uous censeille |ie que uous demour⟦e⟧z/ 	Et il est pres del uespre |si vous lo que vous remaignies 	ed egli è bene tempo d’albergare, |ciò vedete voi bene: |perciò vo lodo in buona fé |che voi rimagniate, 
1387|1388|1389|1390	et vos avrois ostel bel et buen tot a vostre voloir. |— |Bials sire, |fet Lancelos, 	e abredes muy buena Posada a toda vuestra voluntad buen señor dixo |Lançarote yo fincare 	et uous aurez houstel bel et bon tout a uostre uouloir. |Beau sire fait lancelot 	et uos aurois ostel et bel et bon au ren chois Biax |sire fait lanc̃ |des 	et uous aurez hostel tout a uostre uoulente. |Beau sire fait lancelot ie demoureray 	et vous el aurois ostel tout a uostre uolente. |iau sire fait lancelot 	e voi ci areste ostello buono e bello e tutto a vostro volere. |— Bel sire, |disse Lancellotto, 
1391|1392|1393|1394	puis qu’il vos plest, |je remaindrai |et por vostre proiere |et por ce que vos dites 	pues vos plaz Porvuestro Amor |Pues dezides 	puis quil uous plaist |ie demourray. et pour uostre priere. |et aussi par ce que uous dictes 	que il uos plait |ie remendrai por uostre proiere |et por ce que uos me dites 	puis quil uous plaist. |et que uous dictes 	puis que il vous plaist iou remandrai. |Lors descentas Dde son cheual 	e io rimarrò per vostro amore |e per ciò che vo' siete cavaliere erante come vo' dite». 
1395|1396|1397|1398|1399|1400	que vos estes chevaliers errans. a, |Lors descent et vaslés saillent des autres paveillons, |si le desarment |et li aportent I. mantel |de samit legier a afubler por le chaut |qui grans estoit ; 	Que fuistes cauallero Andante |e luego salieron delas tiendas escuderos |Quelo desarmaron |e desque fue desarmado |Truxeronle vn manto de xamete |para cubrir |Porla calor que façia grande 	que uous estes cheualier errant Lors descent. |et uarletz saillent des autres paurillons |si le desarment et luy apportent ung legier mantel de samit a affubler pour le chaut |qui estoit grant. 	que uos estes cheualiers errans |com ie sui Ices descent lancel. |et uarles saillent des autres pauillons. |si le desarment |et li portent un mantel de samis uermeil legier |por le chaut |qui grans estoit 	que uous estes cheualier errant. |Lors descent de son cheual/ et uarletz saillent des autres paueillens |si le desarment |et lui apportent ung manteau de samit |pour affubler pour le chault |qui grant estoit. 	Et uallet saillent des autres paueillons. |si le desarment demaintenant. |puis li aportent vn mantel de samit por affubler. 	soAllor discende Lancellotto |e' |valletti salgono dell’altro padiglione, |si 'l disarmarono |e gli aportarono uno mantello di sciamito per afibiare, |per lo caldo che grande era, 
1401|1402|1403|1404|1405|1406|1407|1408	si le mainent el grant paveillon avec l’autre chevalier. |Et lors parlerent ensamble |et s’entracointierent |et demanda li uns a l’autre de son estre ». |Li chevaliers enquiert a Lancelot |dont il vient |et ou il vet |et quele aventure le maine si sol, 	e entonçe se entraron el cauallero |e lançarote enla tienda |e asentaronse |e començaron a fablar envno |e el cauallero le pregunto |e dixo señor |que auentura os lleba asi solo 	si le mainent ou grant paueillon luy et le cheualier. |lors parlent ensembles ce sentracointent |et demandent lun et lautre de son estre. |Si enquiert le cheualier a lancelot |dont il uient |et ou il uait. |et quelle auanture le mainne seul 	si le mainnent el grant pauillon entre lui et le cheualier. |et lors parolent ensanble entre lui et ses grans cheualiers. et lanc̃. et satracointent. |et demande li uns a lautre de son estre. |Si demande li cheualiers |don il uient et don il ua. |et quel auanture le mainne si seul. 	Si le mainent au grant paueillon. |lui et le cheualier |sentreacointerent |et demanda lun a lautre |dont ilz estoient: |et quelle auanture le menoit si seul. 	et lors sen uont el grant paueillon entre lui et le cheualier. |et cil li demande |ou il aloit. 	si se ne vanno nel grande padiglione intra lui e l cavaliere; |allor parlarono insieme e si tracomandarono al domandare l’uno a l’altro di suo essere, |si inchiede il cavaliere a |Lancellotto donde e viene e dove e' va, |e quale aventura il mena si solo, 
1409|1410|1411	et il li conte une partie de son estre |et autre l’en çoile e; |et totes voies li dist 	e lançarote le conto toda su façienda |enpero todavia le dixo 	et il luy en compte une partie et luy en cele l autre. |Et touteuoyes dist il 	et il li conte une partie de son estre et une partie len soile. |et totesuoie li dit 	Et il lui compte de son estre une partie |et lautre lui en celle: |et toutesfois dit il 	Et lancelot li dist 	ed e' gli conta una partita di suo essere |e una partita ne li 
1412|1413	que en la cort al roi Baudemagu voldroit estre |por soi deffendre vers un chevalier 	que yua ala corte del Rey bandemagus |aque dixo el cauallero |ame defender devn cauallero 	qu en la court du roy bandemagu uoudroit il estre |pour soy deffendre uers ung cheualier 	que a la cort bademagu: |uodroit estre. |por soi desfandre uers un cheualier. 	que en la court du roy bademagus uouldroit il estre pour ung cheualier 	quil volroit estre a la cort le roy baudemagu |pour combatre a. j. cheualier 	cela;e tutvorebbe essere per sé difendere verso d’uno cavaliere 
1414	qui l’a apelé de traïson. 	dixo lançarote |que me Recto de traiçion 	qui la apelle de traison 	qui apelela de traison. 	qui lauoit appelle de trayson. 	qui lauait apele de traison. 	che apellato l’à di 
							tradigione nella corte del re Artù. 
1415|1416	En ce qu’il parloient ensi, |orent li escuier mise la table, 	e ellos asi fablando entro vn escudero |e puso la mesa 	Ainsi quilz parloient mistrent les escuiers la table 	EN ce quil parloient ensamble. |si ont li escuier misses les tables. 	Et ainsi qu ilz parloient len mist les tables. 	Et en chou quil a parloient |ensi orent li escuier mises lez tables. 	Seln ciò che parlavano insi, |ebbono i valletti messe le tavole: 
1417|1418|1419	si vont laver; |si s’asiet Lancelos et li chevaliers et une damoisele |qui molt ert bele 	e asentose el cauallero a comer e lançarote |e vna donzella muy fermosa 	si uont lauer. |puis sassiet lancelot et le cheualier. et une damoisele |qui moult estoit belle 	Si ont laue. |Si ont assis lanc̃. |et le cheualier et une damoisele |qui mout estoit bele. 	ilz lauent leurs mains |et puis se assient le cheualier et lancelot: |et une damoiselle moult belle/ 	si vont lauer |si sassistrent li cheualier au mangier |Et vne damoisele |qui moult estoit bele 	si si lavarono lor mani |e s’asederono al mangiare intra l cavaliere e Lancellotto e una damigella che molto fu bella e avenante e fresca, 
1420	et estoit amie al seignor de laiens; 	que hera amiga del cauallero 	et estoit amyx au seigneur de leaus. 	et estoit amie au signor de Laiens. 	laquelle estoit amie au cheualier de leans. 	qui estoit amie au cheualier de laiens. 	si era amica del signor di là entro, 
1421	si mengierent tuit troi ensamble. 	mas la donçella en quanto vido a lançarote 	si mangerent tous troys ensemble. 	Si mengerent |cui troi ensenble mais cele 	Si mengerent tous trois ensemble: 	si mangerent tout. iij. ensamble 	si era ella molto gentile femina. |i mangiarono tutti e tre insieme e quella, 
1422	mes cele qui Lancelot esgarde ne se puet saoler de lui veoir, 	ansi lo cataua |que no se hartaua delo ver 	Mais celle |qui regarde lancelot ne se puet saouler de le ueoir. 	qui lanc̃ esgarde ne se puet saouler de lui esgarder. 	mais celle qui lancelot regarde laisse le boire et le mengier 	mais moult regarde la damoisele lancelot. |et ne se puet de lui regarder saouler. 	che Lancellotto riguardava tutto adesso, |non si può 
1423|1424	Kar tant li samble bials |qu’ele ne prisa onques mes bialté d’ome envers cesti : 	enque lo via tan fermoso |e no cuidaua |que tan fermoso ome pudiese auer enel mundo 	Car tant luy sembla beau |que oncquez ne pasa beaute domme enuers ceste 	Car tant li sanble biax: |que ele ne prisa onques mais biaute a ome enuers la soie nule rieu. 	pour la grant beaute 	Si ne prisa onques mais la biaute domme vers la soie. 	satollare di lui vedere, |ché tanto le sembia a essere bello |ch’ella non pregia unque biltà d’uomo inverso costui: 
1425|1426|1427|1428	si l’esgarde si viselment |que tot en laisse le mengier |n’a autre chose n’entent. |fors a lui remirer. 	e asi lo estaua catando |que no podia comer 	si le regarda si auiseement |que tout en laisse le manger. 	Si le regarde si uiseument |que tout en laisse le mengier. |Na autre chose |nentant fors a lui remirer. 	que elle uoit en lui/ |si que a autre chose ne entent. 	Si le regarde si ententieument |que tout en laisse le boire et le mangier. |si que a autre chose nentent. |fors ca lui remirer. 	isi-llo sguarda si visibilmente |che tutto ne lascia suo mangiare, |né ad altra cosa non ne intende fôrse a llui riguardare. 
1429	Si ont li escuier osté le premier mes de sor la table 	que auia el escudero tirado el primero manjar dela mesa 	si ont les escuiers ouste le premier mies de dessus la table 	Si ont li escuier oste le premier mes desus la table 	si ont les escuiers oste le premier 	Si ont li escuier oste le premier mes. 	i tentivamente il riguardava che gli scudieri ebbono levata la prima |imbandigione 
1430	c’onques la damoisele n’en tasta, 	e ella no auia metido vocado enla voca |e la donçella 	que oncques la damoisele nen tasta. 	que onques la damoisele nen tata. 	mes que encques la damoiselle nen tasta 	mais onques la damoisele nen gousta. 	ch’unque la damigella no ne saggiò, 
							ché d’altra vivanda avea presa a mangiare 
							dond’ella non si 
							satollerà mica leggermente, 
1431	ains pensa totes voies. 	asi lo catando començo a pensar tan fieramente |que no hera sino marauilla 	ains peust tousiours. 	ains pance totesuoies . 	ains pensa a lancelot: 	Ains pensa toutes voies a la grant biaute lancelot. 	ciò l’è aviso, |si farà s’ella unque potrà. 
1432	Et en cel pensé li descent el cuer une si grant amor 	e ella ansi pensando cayo vn amor ensu corazon 	et ce penser luy descent ou cuer 	et en se panser li dessent une si tresgrant amor 	et en celle pensee lui descendoit une telle amour au cueur 	Et en celui pense li descendoit au cuer vne si grant amor : 	Slnsi pensa la damigella tuttavia, |e n quel pensieri le si ferma nel cuore uno sì grande amore 
1433	qu’ele aime Lancelot 	quelo començo ansi a amar a lançarote 	tant quelle arme lancelot 	que ele aimme lautͣ. 	que elle ayma lancelot oultre 	que elle ama lancelot outre chou 	ch’ella ama Lancellotto 
1434	outre ce que feme n’ama mes home; 	que mas muger podia a ome amar |e deçia entresi mesma 	plus que femme nama iamais home 	outre ce que fame nemma mais home. 	que femme ne ayma oncques homme. 	que femme nama onkes si homme. 	oltre ciò che femina non amò mai uomo. 
1435|1436|1437	si li est avis |que s’il l’amoit |qu'ele seroit beneuree. 	que si la el quisiese amar |que se ternia porla 	si luy est bien aduis |que selle lamoit elle seroit bieneuree. 	Si li est bien auis |que ce il lenmoit |que ele seroit bone euree. 	Si lui est auiz |que sil laymoit quelle seroit trop eureuse. 	Si li est auis |que sil lamoit |que elle seroit bone euree. 	i-ll’è aviso |che se Dio, |che n’à forza, |le consentisse |ch’elli l’amasse, |ch’ella sarebbe in buon'or nata. 
1438|1439	Mais ci endroit n’em parole plus li contes, |kar ça avant le devisera 	mas bien auenturada muger del mundo 	Mais cy cy endroit |pour deuiser une auanture |qui leur aduint ou paueillon endroit |nen parle plus le comte 	mais ci endroit nen parole plus li contes. |Mais sa auant en la deuine page le uos deuisera il bien. 	Mais cy endroit plus nen parle le compte |car cy aprez le uous deuisera 	Mais chi endroit nen parole plus li contes. |mais cha auant vous deuisera 	Ma qui indiritto non parla più il conto, |ché qua avanti vo diviserà 
1440|1441	et comment ele l’ama merveillosement |et comment ele le proia et la merveille 	mas de como ella amo muy afincadamente a lançarote |e delas cosas 	car apres le uous deuisera bien |comment elle lama merueilleusement |et comment elle le pria et la merueille 	et coment ele lenma meruilleusement |et coment ele le proia.et la merueille 	et comment elle layma merueilleusement. 	comment elle lama merueilleusement. |Et comment elle li pria. |et la meruelle 	com’ella l’amò maravigliosamente |e com’ella ne 'l pregò |e richiese d’amore, 
1442	que ses amis en fist, 	que su amigo fiço 	que son amy en fist 	que ses amis en fist 		que sez amis en fist. 	e le maraviglie che suo amico ne fece 
1443|1444|1445	quant il sot |qu’ele l’amoit, |et comment cele morut 	quando sopo que ella tan |desmesuradamjente lo amaua |e de como ella murio 	quant il scet quelle lamoit. |et comment cy endroit 	quant il sot |que ele lemmoit. |et coument ele morust 	et comment elle mourut 	quant il sot |que elle lama. |Et comment elle morut 	quand’e' seppe |ch’ella l’amava, |e come elli la rifiutò 
1446	por ce qu’il la refusa, 	quando supo |que lançarote no la queria amar 		porce que il la refasa. 	pource quil la refusa 	por chou quil le refusa, 	e com’ella ne mori. 
